user_id,age,annual_income,purchase_amount,loyalty_score,region,purchase_frequency
1,25,45000,200,4.5,North,12
2,34,55000,350,7.0,South,18
3,45,65000,500,8.0,West,22
4,22,30000,150,3.0,East,10
5,29,47000,220,4.8,North,13
6,41,61000,480,7.8,South,21
7,36,54000,400,6.5,West,19
8,27,43000,230,4.2,East,14
9,50,70000,600,9.0,North,25
10,31,50000,320,5.5,South,17
11,28,46000,250,4.4,West,15
12,42,62000,520,8.2,North,23
13,33,53000,380,6.0,South,18
14,37,58000,420,6.8,East,20
15,49,69000,590,8.9,West,24
16,23,31000,160,3.2,North,11
17,39,57000,440,7.0,South,21
18,30,49000,300,5.0,West,16
19,46,66000,510,8.1,North,22
20,26,44000,240,4.3,East,14
21,52,72000,610,9.2,South,26
22,24,32000,170,3.3,West,12
23,44,63000,460,7.5,North,21
24,35,56000,390,6.2,South,19
25,38,59000,430,6.9,East,20
26,47,67000,530,8.3,West,23
27,32,52000,360,5.8,North,18
28,29,48000,280,4.6,South,15
29,51,71000,600,9.0,West,25
30,40,60000,450,7.2,East,22
31,34,55000,350,6.5,North,19
32,43,64000,470,7.8,South,21
33,31,50000,320,5.5,West,16
34,27,43000,230,4.0,North,14
35,55,75000,640,9.5,South,28
36,25,45000,200,4.5,West,12
37,48,68000,550,8.5,North,24
38,30,49000,300,5.0,South,17
39,53,73000,620,9.3,West,27
40,28,46000,250,4.2,North,14
41,39,57000,440,7.0,South,21
42,37,58000,420,6.8,West,20
43,46,66000,510,8.1,North,22
44,33,53000,380,6.0,South,18
45,52,72000,610,9.2,West,26
46,29,47000,220,4.4,North,13
47,41,61000,480,7.8,South,21
48,50,70000,600,9.0,West,25
49,36,54000,400,6.5,North,19
50,24,32000,170,3.3,South,11
51,49,69000,590,8.9,West,24
52,26,44000,240,4.3,North,14
53,45,65000,500,8.0,South,22
54,40,60000,450,7.2,West,20
55,38,59000,430,6.9,North,20
56,54,74000,630,9.4,South,27
57,32,52000,360,5.8,West,18
58,31,51000,340,5.6,North,17
59,42,62000,520,8.2,South,23
60,55,75000,640,9.5,West,28
61,29,46000,270,4.3,North,15
62,33,53000,380,6.0,South,18
63,51,71000,600,9.0,West,25
64,27,43000,230,4.0,North,14
65,43,63000,470,7.8,South,21
66,41,61000,480,7.7,West,22
67,50,70000,600,9.0,North,25
68,24,32000,170,3.3,South,11
69,48,68000,550,8.5,West,24
70,30,49000,300,5.0,North,16
71,39,57000,440,7.0,South,21
72,37,58000,420,6.8,West,20
73,46,66000,510,8.1,North,22
74,33,53000,380,6.0,South,18
75,52,72000,610,9.2,West,26
76,28,46000,250,4.2,North,14
77,41,61000,480,7.8,South,21
78,50,70000,600,9.0,West,25
79,36,54000,400,6.5,North,19
80,24,32000,170,3.3,South,11
81,49,69000,590,8.9,West,24
82,26,44000,240,4.3,North,14
83,45,65000,500,8.0,South,22
84,40,60000,450,7.2,West,20
85,38,59000,430,6.9,North,20
86,54,74000,630,9.4,South,27
87,32,52000,360,5.8,West,18
88,31,51000,340,5.6,North,17
89,42,62000,520,8.2,South,23
90,55,75000,640,9.5,West,28
91,29,46000,270,4.3,North,15
92,33,53000,380,6.0,South,18
93,51,71000,600,9.0,West,25
94,27,43000,230,4.0,North,14
95,43,63000,470,7.8,South,21
96,41,61000,480,7.7,West,22
97,50,70000,600,9.0,North,25
98,24,32000,170,3.3,South,11
99,48,68000,550,8.5,West,24
100,30,49000,300,5.0,North,16
101,39,57000,440,7.0,South,21
102,37,58000,420,6.8,West,20
103,46,66000,510,8.1,North,22
104,33,53000,380,6.0,South,18
105,52,72000,610,9.2,West,26
106,28,46000,250,4.2,North,14
107,41,61000,480,7.8,South,21
108,50,70000,600,9.0,West,25
109,36,54000,400,6.5,North,19
110,24,32000,170,3.3,South,11
111,49,69000,590,8.9,West,24
112,26,44000,240,4.3,North,14
113,45,65000,500,8.0,South,22
114,40,60000,450,7.2,West,20
115,38,59000,430,6.9,North,20
116,54,74000,630,9.4,South,27
117,32,52000,360,5.8,West,18
118,31,51000,340,5.6,North,17
119,42,62000,520,8.2,South,23
120,55,75000,640,9.5,West,28
121,29,46000,270,4.3,North,15
122,33,53000,380,6.0,South,18
123,51,71000,600,9.0,West,25
124,27,43000,230,4.0,North,14
125,43,63000,470,7.8,South,21
126,41,61000,480,7.7,West,22
127,50,70000,600,9.0,North,25
128,24,32000,170,3.3,South,11
129,48,68000,550,8.5,West,24
130,30,49000,300,5.0,North,16
131,39,57000,440,7.0,South,21
132,37,58000,420,6.8,West,20
133,46,66000,510,8.1,North,22
134,33,53000,380,6.0,South,18
135,52,72000,610,9.2,West,26
136,28,46000,250,4.2,North,14
137,41,61000,480,7.8,South,21
138,50,70000,600,9.0,West,25
139,36,54000,400,6.5,North,19
140,24,32000,170,3.3,South,11
141,49,69000,590,8.9,West,24
142,26,44000,240,4.3,North,14
143,45,65000,500,8.0,South,22
144,40,60000,450,7.2,West,20
145,38,59000,430,6.9,North,20
146,54,74000,630,9.4,South,27
147,32,52000,360,5.8,West,18
148,31,51000,340,5.6,North,17
149,42,62000,520,8.2,South,23
150,55,75000,640,9.5,West,28
151,29,46000,270,4.3,North,15
152,33,53000,380,6.0,South,18
153,51,71000,600,9.0,West,25
154,27,43000,230,4.0,North,14
155,43,63000,470,7.8,South,21
156,41,61000,480,7.7,West,22
157,50,70000,600,9.0,North,25
158,24,32000,170,3.3,South,11
159,48,68000,550,8.5,West,24
160,30,49000,300,5.0,North,16
161,39,57000,440,7.0,South,21
162,37,58000,420,6.8,West,20
163,46,66000,510,8.1,North,22
164,33,53000,380,6.0,South,18
165,52,72000,610,9.2,West,26
166,28,46000,250,4.2,North,14
167,41,61000,480,7.8,South,21
168,50,70000,600,9.0,West,25
169,36,54000,400,6.5,North,19
170,24,32000,170,3.3,South,11
171,49,69000,590,8.9,West,24
172,26,44000,240,4.3,North,14
173,45,65000,500,8.0,South,22
174,40,60000,450,7.2,West,20
175,38,59000,430,6.9,North,20
176,54,74000,630,9.4,South,27
177,32,52000,360,5.8,West,18
178,31,51000,340,5.6,North,17
179,42,62000,520,8.2,South,23
180,55,75000,640,9.5,West,28
181,29,46000,270,4.3,North,15
182,33,53000,380,6.0,South,18
183,51,71000,600,9.0,West,25
184,27,43000,230,4.0,North,14
185,43,63000,470,7.8,South,21
186,41,61000,480,7.7,West,22
187,50,70000,600,9.0,North,25
188,24,32000,170,3.3,South,11
189,48,68000,550,8.5,West,24
190,30,49000,300,5.0,North,16
191,39,57000,440,7.0,South,21
192,37,58000,420,6.8,West,20
193,46,66000,510,8.1,North,22
194,33,53000,380,6.0,South,18
195,52,72000,610,9.2,West,26
196,28,46000,250,4.2,North,14
197,41,61000,480,7.8,South,21
198,50,70000,600,9.0,West,25
199,36,54000,400,6.5,North,19
200,24,32000,170,3.3,South,11
201,49,69000,590,8.9,West,24
202,26,44000,240,4.3,North,14
203,45,65000,500,8.0,South,22
204,40,60000,450,7.2,West,20
205,38,59000,430,6.9,North,20
206,54,74000,630,9.4,South,27
207,32,52000,360,5.8,West,18
208,31,51000,340,5.6,North,17
209,42,62000,520,8.2,South,23
210,55,75000,640,9.5,West,28
211,29,46000,270,4.3,North,15
212,33,53000,380,6.0,South,18
213,51,71000,600,9.0,West,25
214,27,43000,230,4.0,North,14
215,43,63000,470,7.8,South,21
216,41,61000,480,7.7,West,22
217,50,70000,600,9.0,North,25
218,24,32000,170,3.3,South,11
219,48,68000,550,8.5,West,24
220,30,49000,300,5.0,North,16
221,39,57000,440,7.0,South,21
222,37,58000,420,6.8,West,20
223,46,66000,510,8.1,North,22
224,33,53000,380,6.0,South,18
225,52,72000,610,9.2,West,26
226,28,46000,250,4.2,North,14
227,41,61000,480,7.8,South,21
228,50,70000,600,9.0,West,25
229,36,54000,400,6.5,North,19
230,24,32000,170,3.3,South,11
231,49,69000,590,8.9,West,24
232,26,44000,240,4.3,North,14
233,45,65000,500,8.0,South,22
234,40,60000,450,7.2,West,20
235,38,59000,430,6.9,North,20
236,54,74000,630,9.4,South,27
237,32,52000,360,5.8,West,18
238,31,51000,340,5.6,North,17
239,35,56000,420,6.7,West,20
240,55,75000,640,9.4,West,28
241,30,49500,330,5.6,West,17
242,29,48500,310,5.3,North,16
243,24,44000,240,4.1,North,15
244,51,71500,620,9.4,West,26
245,37,53500,420,6.9,South,19
246,29,47500,280,4.6,North,16
247,33,52000,360,5.7,South,17
248,37,54500,390,6.4,North,18
249,42,62000,470,7.7,South,20
250,27,44000,250,4.5,North,14
251,25,33500,190,3.5,South,12
252,50,71500,620,9.3,West,25
253,42,61500,470,7.8,South,22
254,40,58500,450,7.3,South,20
255,40,61000,440,7.2,North,20
256,24,32000,170,3.3,South,11
257,50,69000,580,8.6,North,24
258,35,53500,420,6.6,West,20
259,23,32500,180,3.5,South,12
260,29,45500,260,4.4,North,14
261,50,70000,600,9.2,North,24
262,33,53000,380,6.0,South,17
263,38,61500,430,6.6,West,20
264,41,60500,480,7.8,South,21
265,30,46500,270,4.7,North,16
266,49,68000,560,8.6,West,22
267,50,69500,580,8.6,West,25
268,38,55500,430,6.9,South,21
269,42,62000,510,8.1,South,22
270,51,70500,620,9.2,North,25
271,48,67000,560,8.5,North,25
272,32,53000,390,6.1,South,18
273,53,75000,640,9.3,West,25
274,52,72000,600,9.3,South,24
275,38,60000,440,7.1,East,19
276,48,68000,540,8.7,West,22
277,31,51500,320,5.0,South,16
278,33,53500,390,6.1,South,18
279,28,44000,240,3.8,North,14
280,24,32500,170,3.4,South,11
281,24,31000,160,3.1,South,11
282,32,54500,400,6.1,West,19
283,27,46000,260,4.4,North,15
284,39,57000,440,7.1,South,21
285,41,60500,480,7.7,West,22
286,39,59000,420,6.7,East,21
287,23,30000,150,3.0,North,11
288,49,71000,580,8.7,North,26
289,49,67500,570,8.7,West,24
290,55,74500,620,9.4,West,26
291,23,31000,160,3.1,South,11
292,52,72000,610,9.5,West,25
293,51,72500,610,9.2,West,26
294,27,46000,240,4.1,North,13
295,50,70000,610,9.1,West,25
296,46,66500,530,8.4,North,23
297,28,44000,250,4.4,North,15
298,22,30000,150,3.1,North,11
299,50,69500,580,8.8,West,24
300,35,53000,400,6.6,North,19
301,48,66000,530,8.5,West,23
302,49,69000,600,9.1,West,25
303,29,47500,270,4.7,North,15
304,24,31000,170,3.3,South,11
305,55,74500,620,9.1,West,27
306,27,41000,190,3.6,North,13
307,55,74500,630,9.4,West,27
308,55,74000,620,9.1,South,27
309,29,48500,300,4.9,North,17
310,40,59500,450,7.0,West,20
311,32,52500,360,5.7,North,18
312,32,51500,360,5.8,South,18
313,29,46000,260,4.1,North,14
314,53,74000,630,9.5,West,26
315,37,57000,400,6.4,East,20
316,41,61500,450,7.6,South,21
317,35,55000,400,6.5,North,18
318,54,74500,630,9.5,West,28
319,27,45000,190,4.0,North,11
320,55,75000,630,9.5,South,27
321,39,58000,440,7.2,South,20
322,44,64500,480,8.0,South,21
323,35,54500,400,6.6,North,18
324,54,74000,640,9.5,South,28
325,48,67000,570,8.7,West,23
326,24,32000,160,3.0,West,13
327,54,71500,590,8.9,West,26
328,34,54000,380,5.9,South,17
329,28,45000,250,4.4,North,14
330,42,63500,470,7.4,West,20
